subject,accuracy,n_test
temple056,0.8181818181818182,66
temple057,0.9242424242424242,66
temple058,0.8939393939393939,66
temple059,0.8636363636363636,66
temple071,0.8636363636363636,66
temple072,0.8484848484848485,66
temple073,0.8484848484848485,66
temple074,0.7575757575757576,66
temple075,0.8484848484848485,66
temple076,0.9242424242424242,66
temple087,0.8333333333333334,66
temple088,0.7878787878787878,66
temple089,0.7424242424242424,66
temple099,0.803030303030303,66
temple105,0.8939393939393939,66
temple106,0.8181818181818182,66
temple108,0.8333333333333334,66
temple119,0.8181818181818182,66
temple120,0.8787878787878788,66
temple123,0.8333333333333334,66
temple124,0.7878787878787878,66
